Row_ID;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country_Region;City;State_Province;Postal_Code;Region;Product_ID;Category;Sub_Category;Product_Name;Sales;Quantity;Discount;Profit
1;US-2019-103800;2019-01-03;2019-01-07;Standard Class;DP-13000;Darren Powers;Consumer;United States;Houston;Texas;77095;Central;OFF-PA-10000174;Office Supplies;Paper;Message Book, Wirebound, Four 5 1/2" X 4" Forms/Pg., 200 Dupl. Sets/Book;16.447999954223633;2;0.20000000298023224;5.5511999130249023
2;US-2019-112326;2019-01-04;2019-01-08;Standard Class;PO-19195;Phillina Ober;Home Office;United States;Naperville;Illinois;60540;Central;OFF-BI-10004094;Office Supplies;Binders;GBC Standard Plastic Binding Systems Combs;3.5399999618530273;2;0.80000001192092896;-5.4869999885559082
3;US-2019-112326;2019-01-04;2019-01-08;Standard Class;PO-19195;Phillina Ober;Home Office;United States;Naperville;Illinois;60540;Central;OFF-LA-10003223;Office Supplies;Labels;Avery 508;11.784000396728516;3;0.20000000298023224;4.2716999053955078
4;US-2019-112326;2019-01-04;2019-01-08;Standard Class;PO-19195;Phillina Ober;Home Office;United States;Naperville;Illinois;60540;Central;OFF-ST-10002743;Office Supplies;Storage;SAFCO Boltless Steel Shelving;272.73599243164063;3;0.20000000298023224;-64.774803161621094
5;US-2019-141817;2019-01-05;2019-01-12;Standard Class;MB-18085;Mick Brown;Consumer;United States;Philadelphia;Pennsylvania;19143;East;OFF-AR-10003478;Office Supplies;Art;Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack;19.535999298095703;3;0.20000000298023224;4.8839998245239258
6;US-2019-167199;2019-01-06;2019-01-10;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;2573.820068359375;9;0;746.40777587890625
7;US-2019-167199;2019-01-06;2019-01-10;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-AR-10001662;Office Supplies;Art;Rogers Handheld Barrel Pencil Sharpener;5.4800000190734863;2;0;1.4795999526977539
8;US-2019-106054;2019-01-06;2019-01-07;First Class;JO-15145;Jack O'Briant;Corporate;United States;Athens;Georgia;30605;South;OFF-AR-10002399;Office Supplies;Art;Dixon Prang Watercolor Pencils, 10-Color Set with Brush;12.779999732971191;3;0;5.239799976348877
9;US-2019-167199;2019-01-06;2019-01-10;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-BI-10004632;Office Supplies;Binders;Ibico Hi-Tech Manual Binding System;609.97998046875;2;0;274.49099731445313
10;US-2019-167199;2019-01-06;2019-01-10;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-FA-10001883;Office Supplies;Fasteners;Alliance Super-Size Bands, Assorted Sizes;31.120000839233398;4;0;0.31119999289512634
11;US-2019-167199;2019-01-06;2019-01-10;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;OFF-PA-10000955;Office Supplies;Paper;Southworth 25% Cotton Granite Paper & Envelopes;6.5399999618530273;1;0;3.0083999633789063
12;US-2019-130813;2019-01-06;2019-01-08;Second Class;LS-17230;Lycoris Saunders;Consumer;United States;Los Angeles;California;90049;West;OFF-PA-10002005;Office Supplies;Paper;Xerox 225;19.440000534057617;3;0;9.3311996459960938
13;US-2019-167199;2019-01-06;2019-01-10;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;TEC-PH-10004539;Technology;Phones;Wireless Extenders zBoost YX545 SOHO Signal Booster;755.96002197265625;4;0;204.10920715332031
14;US-2019-167199;2019-01-06;2019-01-10;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;TEC-PH-10004977;Technology;Phones;GE 30524EE4;391.98001098632813;2;0;113.67420196533203
15;US-2019-105417;2019-01-07;2019-01-12;Standard Class;VS-21820;Vivek Sundaresam;Consumer;United States;Huntsville;Texas;77340;Central;FUR-FU-10004864;Furniture;Furnishings;Howard Miller 14-1/2" Diameter Chrome Round Wall Clock;76.727996826171875;3;0.60000002384185791;-53.709598541259766
16;US-2019-105417;2019-01-07;2019-01-12;Standard Class;VS-21820;Vivek Sundaresam;Consumer;United States;Huntsville;Texas;77340;Central;OFF-BI-10003708;Office Supplies;Binders;Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1";10.430000305175781;7;0.80000001192092896;-18.252500534057617
17;US-2019-135405;2019-01-09;2019-01-13;Standard Class;MS-17830;Melanie Seite;Consumer;United States;Laredo;Texas;78041;Central;OFF-AR-10004078;Office Supplies;Art;Newell 312;9.3439998626708984;2;0.20000000298023224;1.1679999828338623
18;US-2019-135405;2019-01-09;2019-01-13;Standard Class;MS-17830;Melanie Seite;Consumer;United States;Laredo;Texas;78041;Central;TEC-AC-10001266;Technology;Accessories;Memorex Micro Travel Drive 8 GB;31.200000762939453;3;0.20000000298023224;9.75
19;US-2019-149020;2019-01-10;2019-01-15;Standard Class;AJ-10780;Anthony Jacobs;Corporate;United States;Springfield;Virginia;22153;South;FUR-FU-10000965;Furniture;Furnishings;Howard Miller 11-1/2" Diameter Ridgewood Wall Clock;51.939998626708984;1;0;21.295400619506836
20;US-2019-149020;2019-01-10;2019-01-15;Standard Class;AJ-10780;Anthony Jacobs;Corporate;United States;Springfield;Virginia;22153;South;OFF-LA-10004272;Office Supplies;Labels;Avery 482;2.8900001049041748;1;0;1.3582999706268311
21;US-2019-130092;2019-01-11;2019-01-14;First Class;SV-20365;Seth Vernon;Consumer;United States;Dover;Delaware;19901;East;FUR-FU-10000010;Furniture;Furnishings;DAX Value U-Channel Document Frames, Easel Back;9.9399995803833008;2;0;3.0813999176025391
22;US-2019-157147;2019-01-13;2019-01-18;Standard Class;BD-11605;Brian Dahlen;Consumer;United States;San Francisco;California;94109;West;FUR-BO-10003034;Furniture;Bookcases;O'Sullivan Elevations Bookcase, Cherry Finish;333.99899291992188;3;0.15000000596046448;3.9293999671936035
23;US-2019-109232;2019-01-13;2019-01-16;Second Class;ND-18370;Natalie DeCherney;Consumer;United States;Mount Pleasant;South Carolina;29464;South;FUR-CH-10000422;Furniture;Chairs;Global Highback Leather Tilter in Burgundy;545.94000244140625;6;0;87.35040283203125
24;US-2019-157147;2019-01-13;2019-01-18;Standard Class;BD-11605;Brian Dahlen;Consumer;United States;San Francisco;California;94109;West;OFF-AR-10003514;Office Supplies;Art;4009 Highlighters by Sanford;19.899999618530273;5;0;6.5669999122619629
25;US-2019-118192;2019-01-13;2019-01-18;Standard Class;MM-17920;Michael Moore;Consumer;United States;Newark;Ohio;43055;East;OFF-BI-10003476;Office Supplies;Binders;Avery Metallic Poly Binders;3.437999963760376;2;0.69999998807907104;-2.5211999416351318
26;US-2019-162775;2019-01-13;2019-01-15;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;OFF-BI-10004187;Office Supplies;Binders;3-ring staple pack;5.6399998664855957;3;0;2.7072000503540039
27;US-2019-162775;2019-01-13;2019-01-15;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;OFF-EN-10001532;Office Supplies;Envelopes;Brown Kraft Recycled Envelopes;50.939998626708984;3;0;25.469999313354492
28;US-2019-162775;2019-01-13;2019-01-15;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;OFF-EN-10001990;Office Supplies;Envelopes;Staple envelope;11.359999656677246;2;0;5.3392000198364258
29;US-2019-118192;2019-01-13;2019-01-18;Standard Class;MM-17920;Michael Moore;Consumer;United States;Newark;Ohio;43055;East;OFF-PA-10002947;Office Supplies;Paper;Xerox 1923;37.408000946044922;7;0.20000000298023224;13.092800140380859
30;US-2019-162775;2019-01-13;2019-01-15;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;OFF-ST-10000025;Office Supplies;Storage;Fellowes Stor/Drawer Steel Plus Storage Drawers;572.58001708984375;6;0;34.354801177978516
31;US-2019-157147;2019-01-13;2019-01-18;Standard Class;BD-11605;Brian Dahlen;Consumer;United States;San Francisco;California;94109;West;OFF-ST-10000078;Office Supplies;Storage;Tennsco 6- and 18-Compartment Lockers;1325.8499755859375;5;0;238.65299987792969
32;US-2019-162775;2019-01-13;2019-01-15;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;TEC-AC-10003174;Technology;Accessories;Plantronics S12 Corded Telephone Headset System;646.739990234375;6;0;258.69601440429688
33;US-2019-149524;2019-01-14;2019-01-15;First Class;BS-11590;Brendan Sweed;Corporate;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10003433;Furniture;Bookcases;Sauder Cornerstone Collection Library;61.959999084472656;4;0.5;-53.285598754882813
34;US-2019-103366;2019-01-15;2019-01-17;First Class;EH-13990;Erica Hackney;Consumer;United States;Roswell;Georgia;30076;South;TEC-AC-10003628;Technology;Accessories;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;149.94999694824219;5;0;65.977996826171875
35;US-2019-115791;2019-01-16;2019-01-18;Second Class;DL-13315;Delfina Latchford;Consumer;United States;Philadelphia;Pennsylvania;19134;East;FUR-FU-10001095;Furniture;Furnishings;DAX Black Cherry Wood-Tone Poster Frame;127.10399627685547;6;0.20000000298023224;28.598400115966797
36;US-2019-115791;2019-01-16;2019-01-18;Second Class;DL-13315;Delfina Latchford;Consumer;United States;Philadelphia;Pennsylvania;19134;East;OFF-BI-10001575;Office Supplies;Binders;GBC Linen Binding Covers;18.58799934387207;2;0.69999998807907104;-13.631199836730957
37;US-2019-115791;2019-01-16;2019-01-18;Second Class;DL-13315;Delfina Latchford;Consumer;United States;Philadelphia;Pennsylvania;19134;East;OFF-LA-10001074;Office Supplies;Labels;Round Specialty Laser Printer Labels;30.072000503540039;3;0.20000000298023224;10.149299621582031
38;US-2019-115791;2019-01-16;2019-01-18;Second Class;DL-13315;Delfina Latchford;Consumer;United States;Philadelphia;Pennsylvania;19134;East;TEC-PH-10004614;Technology;Phones;AT&T 841000 Phone;124.19999694824219;3;0.40000000596046448;-31.049999237060547
39;US-2019-123477;2019-01-18;2019-01-21;Second Class;DW-13195;David Wiener;Corporate;United States;Springfield;Oregon;97477;West;OFF-AP-10000692;Office Supplies;Appliances;Fellowes Mighty 8 Compact Surge Protector;64.863998413085938;4;0.20000000298023224;6.4864001274108887
40;US-2019-146591;2019-01-19;2019-01-20;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;FUR-BO-10001972;Furniture;Bookcases;O'Sullivan 4-Shelf Bookcase in Odessa Pine;181.47000122070313;5;0.69999998807907104;-320.59698486328125
41;US-2019-146591;2019-01-19;2019-01-20;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-BI-10003676;Office Supplies;Binders;GBC Standard Recycled Report Covers, Clear Plastic Sheets;32.340000152587891;10;0.69999998807907104;-23.715999603271484
42;US-2019-146591;2019-01-19;2019-01-20;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-EN-10002504;Office Supplies;Envelopes;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;108.72000122070313;5;0.20000000298023224;36.693000793457031
